Commit,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWE IDs
21b9ba717c1687a889879232f226c75fb4dbe0bf,3045,142,5,141,225,2826,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
26ecc93228bc3dbb9d62daa419cb344ba6f88caa,6531,159,5,143,225,6327,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
273620488ced7dd1a3c8a1c5022d17f0cc7f9496,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
2eb3c75c697685af595b08023b4dc27d49403274,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
2ee01efe496db9ff8506ca37fe2571f5f4ac2849,6534,159,5,143,225,6330,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
3154b08e90d9777dfe2879b8686b6fc63a793c84,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
380c2279b92f1aa7386e79fc43109499a057e8cf,5637,159,5,143,225,5433,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
391af6afcca232aed82eda516b035dbbd39cdcb1,3056,142,5,141,225,2837,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
393ff96e45ffcb738bc9f8d3240cd4d999bd07df,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
3ca882fba86750199c2f41ef24b5495a4afa7988,6537,159,5,143,225,6333,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
3ded1dfe31510f00e14a70811b7c01dae8b5a641,4997,142,5,143,225,4776,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
402500b164efc01257679247d3dd1628a5f90f5e,3050,142,5,141,225,2831,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
40833afc86d45543a521b0f147387f7f770a8adc,4997,142,5,143,225,4776,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
4842bcbf1da41029a604d1bf743d4dc893960d39,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
